#Table1
u,g,r,i,z,class,z1,zerr
18.6223,17.44639,16.79568,16.43979,16.21685,GALAXY,0.07831959,1.568937E-05
19.23812,17.73541,16.90238,16.4326,16.07561,GALAXY,0.05973281,1.081792E-05
19.07131,17.93505,17.58617,17.3697,17.27695,GALAXY,0.05173815,6.61382E-06
19.43148,18.18243,17.69479,17.4158,17.22357,GALAXY,0.03938773,9.191829E-06
19.5548,17.75536,16.99421,16.64216,16.39277,GALAXY,0.03766108,2.847206E-05
18.81829,18.4241,18.12867,18.12762,18.07238,QSO,0.9271541,0.0001076361
18.91795,17.17637,16.23539,15.78237,15.40147,GALAXY,0.03587222,2.298041E-05
16.92056,15.54362,14.92239,14.57224,14.35079,GALAXY,0.0408808,1.532192E-05
18.29705,16.79079,16.06063,15.63228,15.26193,GALAXY,0.03332142,8.231922E-06
19.52201,18.1923,17.56434,17.15292,16.92207,GALAXY,0.1150228,1.037309E-05
17.933,16.34759,15.53698,15.05413,14.64773,GALAXY,0.05074922,9.918062E-06
19.47396,18.26866,17.74138,17.41511,17.20993,GALAXY,0.1185427,9.020746E-06
18.75328,17.60126,17.14568,16.81311,16.66932,GALAXY,0.07910938,6.04258E-06
17.26712,15.01936,13.94531,13.40215,12.95963,GALAXY,0.03338407,9.080915E-06
17.69057,15.93945,15.18781,14.82573,14.52873,GALAXY,0.03797562,9.19566E-06
18.64849,17.34916,16.7729,16.45092,16.19316,GALAXY,0.04324456,1.071711E-05
19.09424,19.12295,18.89949,18.80074,18.93619,QSO,1.423852,0.0003551143
19.08509,17.34305,16.57132,16.19261,15.88625,GALAXY,0.03782897,1.779438E-05
18.80987,17.01758,16.17755,15.75073,15.45422,GALAXY,0.07048649,1.995319E-05
19.07813,17.19508,16.31353,15.90801,15.54617,GALAXY,0.06465688,2.257658E-05
